Column1,Column2
 Team Win_Probability,
4      france           26.82,
7       spain           21.85,
1   argentina           17.09,
3     england           11.59,
8 switzerland            7.89,
5     morocco            7.55,
2     belgium            5.53,
6      norway            1.68,
